Cumulative Visit,Study Area,Site,,AreaSite,Species,SumOfInvestigative,SumOfCloseness,Pics_Visit,Prop_Investigative,Prop_Close,VegType
581,BLM,Site,91,BLMSite91,KitFox,3,3,3,1,1,Shrub
595,BLM,Site,91,BLMSite91,KitFox,1,3,3,0.333333333,1,Shrub
601,BLM,Site,91,BLMSite91,KitFox,3,0,3,1,0,Shrub
313,BLM,Site,92,BLMSite92,KitFox,0,0,1,0,0,Shrub
316,BLM,Site,93,BLMSite93,KitFox,3,3,3,1,1,Shrub
333,BLM,Site,93,BLMSite93,KitFox,1,0,1,1,0,Shrub
336,BLM,Site,93,BLMSite93,KitFox,1,0,3,0.333333333,0,Shrub
344,BLM,Site,93,BLMSite93,KitFox,2,1,2,1,0.5,Shrub
363,BLM,Site,93,BLMSite93,KitFox,0,0,1,0,0,Shrub
630,BLM,Site,93,BLMSite93,KitFox,2,0,3,0.666666667,0,Shrub
645,BLM,Site,93,BLMSite93,KitFox,0,0,3,0,0,Shrub
646,BLM,Site,93,BLMSite93,KitFox,0,0,1,0,0,Shrub
330,BLM,Site,94,BLMSite94,KitFox,3,1,3,1,0.333333333,Shrub
331,BLM,Site,94,BLMSite94,KitFox,0,0,1,0,0,Shrub
345,BLM,Site,94,BLMSite94,KitFox,1,1,1,1,1,Shrub
352,BLM,Site,94,BLMSite94,KitFox,3,2,3,1,0.666666667,Shrub
46,BLM,Site,95,BLMSite95,KitFox,3,3,6,0.5,0.5,Shrub
82,BLM,Site,95,BLMSite95,KitFox,0,0,5,0,0,Shrub
104,BLM,Site,95,BLMSite95,KitFox,3,1,4,0.75,0.25,Shrub
169,BLM,Site,95,BLMSite95,KitFox,1,1,3,0.333333333,0.333333333,Shrub
930,BLM,Site,95,BLMSite95,KitFox,6,6,9,0.666666667,0.666666667,Shrub
931,BLM,Site,95,BLMSite95,KitFox,3,3,3,1,1,Shrub
962,BLM,Site,95,BLMSite95,KitFox,5,5,6,0.833333333,0.833333333,Shrub
976,BLM,Site,95,BLMSite95,KitFox,2,3,3,0.666666667,1,Shrub
667,BLM,Site,96,BLMSite96,KitFox,0,0,3,0,0,Shrub
614,BLM,Site,97,BLMSite97,KitFox,1,3,3,0.333333333,1,Shrub
631,BLM,Site,97,BLMSite97,KitFox,3,3,3,1,1,Shrub
651,BLM,Site,97,BLMSite97,KitFox,5,4,7,0.714285714,0.571428571,Shrub
388,BLM,Site,98,BLMSite98,KitFox,0,1,1,0,1,Shrub
405,BLM,Site,98,BLMSite98,KitFox,9,9,10,0.9,0.9,Shrub
420,BLM,Site,98,BLMSite98,KitFox,3,4,4,0.75,1,Shrub
430,BLM,Site,98,BLMSite98,KitFox,3,3,4,0.75,0.75,Shrub
927,BLM,Site,99,BLMSite99,KitFox,0,0,2,0,0,Shrub
946,BLM,Site,99,BLMSite99,KitFox,2,0,3,0.666666667,0,Shrub
959,BLM,Site,99,BLMSite99,KitFox,3,3,3,1,1,Shrub
968,BLM,Site,99,BLMSite99,KitFox,0,3,6,0,0.5,Shrub
994,BLM,Site,99,BLMSite99,KitFox,0,0,2,0,0,Shrub
485,Dugway,Site,12W,DugwaySite12W,KitFox,1,2,2,0.5,1,Shrub
451,Dugway,Site,17,DugwaySite17,KitFox,3,0,3,1,0,Shrub
285,Dugway,Site,22,DugwaySite22,KitFox,3,3,3,1,1,Shrub
286,Dugway,Site,22,DugwaySite22,KitFox,3,3,3,1,1,Shrub
291,Dugway,Site,22,DugwaySite22,KitFox,7,7,8,0.875,0.875,Shrub
654,Hanksville,Site,25,HanksvilleSite25,KitFox,7,4,9,0.777777778,0.444444444,Shrub
655,Hanksville,Site,25,HanksvilleSite25,KitFox,3,3,3,1,1,Shrub
656,Hanksville,Site,25,HanksvilleSite25,KitFox,3,0,3,1,0,Shrub
657,Hanksville,Site,25,HanksvilleSite25,KitFox,3,2,3,1,0.666666667,Shrub
675,Hanksville,Site,25,HanksvilleSite25,KitFox,3,2,3,1,0.666666667,Shrub
670,Hanksville,Site,69,HanksvilleSite69,KitFox,2,0,3,0.666666667,0,Shrub
255,Hill Air Force,Site,B3,Hill Air ForceSiteB3,KitFox,8,8,9,0.888888889,0.888888889,Shrub
212,Hill Air Force,Site,C2,Hill Air ForceSiteC2,KitFox,3,0,3,1,0,Shrub
273,Hill Air Force,Site,D3,Hill Air ForceSiteD3,KitFox,9,9,9,1,1,Shrub
275,Hill Air Force,Site,D3,Hill Air ForceSiteD3,KitFox,6,6,6,1,1,Shrub
778,Hill Air Force,Site,E3,Hill Air ForceSiteE3,KitFox,0,0,1,0,0,Shrub
782,Hill Air Force,Site,E3,Hill Air ForceSiteE3,KitFox,3,1,3,1,0.333333333,Shrub
225,Hill Air Force,Site,H22,Hill Air ForceSiteH22,KitFox,6,6,9,0.666666667,0.666666667,Shrub
257,Hill Air Force,Site,H22,Hill Air ForceSiteH22,KitFox,2,3,3,0.666666667,1,Shrub
215,Hill Air Force,Site,I11,Hill Air ForceSiteI11,KitFox,7,8,9,0.777777778,0.888888889,Shrub
256,Hill Air Force,Site,I11,Hill Air ForceSiteI11,KitFox,6,6,6,1,1,Shrub
217,Hill Air Force,Site,O11,Hill Air ForceSiteO11,KitFox,3,0,3,1,0,Shrub
241,Hill Air Force,Site,O11,Hill Air ForceSiteO11,KitFox,6,2,6,1,0.333333333,Shrub
242,Hill Air Force,Site,O11,Hill Air ForceSiteO11,KitFox,0,0,2,0,0,Shrub
43,Hill Air Force,Site,S2,Hill Air ForceSiteS2,KitFox,3,3,3,1,1,Shrub
27,Hill Air Force,Site,S8,Hill Air ForceSiteS8,KitFox,2,5,6,0.333333333,0.833333333,Shrub
99,Hill Air Force,Site,S8,Hill Air ForceSiteS8,KitFox,3,3,3,1,1,Shrub
3,Hill Air Force,Site,T_7,Hill Air ForceSiteT_7,KitFox,4,4,5,0.8,0.8,Shrub
31,Hill Air Force,Site,T_7,Hill Air ForceSiteT_7,KitFox,0,1,1,0,1,Shrub
77,Hill Air Force,Site,T_7,Hill Air ForceSiteT_7,KitFox,4,2,4,1,0.5,Shrub
21,Hill Air Force,Site,T4,Hill Air ForceSiteT4,KitFox,3,0,3,1,0,Shrub
156,Hill Air Force,Site,T4,Hill Air ForceSiteT4,KitFox,0,0,3,0,0,Shrub
166,Hill Air Force,Site,T4,Hill Air ForceSiteT4,KitFox,0,3,3,0,1,Shrub
266,Hill Air Force,Site,T4,Hill Air ForceSiteT4,KitFox,1,0,1,1,0,Shrub
270,Hill Air Force,Site,T7,Hill Air ForceSiteT7,KitFox,6,7,12,0.5,0.583333333,Shrub
734,Hill Air Force,Site,U6,Hill Air ForceSiteU6,KitFox,1,0,3,0.333333333,0,Shrub
739,Hill Air Force,Site,U6,Hill Air ForceSiteU6,KitFox,6,2,6,1,0.333333333,Shrub
742,Hill Air Force,Site,U6,Hill Air ForceSiteU6,KitFox,3,3,3,1,1,Shrub
755,Hill Air Force,Site,U6,Hill Air ForceSiteU6,KitFox,3,2,3,1,0.666666667,Shrub
756,Hill Air Force,Site,U6,Hill Air ForceSiteU6,KitFox,3,0,4,0.75,0,Shrub
757,Hill Air Force,Site,U6,Hill Air ForceSiteU6,KitFox,3,1,3,1,0.333333333,Shrub
28,Hill Air Force,Site,U9,Hill Air ForceSiteU9,KitFox,3,3,3,1,1,Shrub
139,Hill Air Force,Site,U9,Hill Air ForceSiteU9,KitFox,1,1,1,1,1,Shrub
29,Hill Air Force,Site,V3,Hill Air ForceSiteV3,KitFox,3,3,3,1,1,Shrub
30,Hill Air Force,Site,V3,Hill Air ForceSiteV3,KitFox,3,3,3,1,1,Shrub
754,Hill Air Force,Site,V7,Hill Air ForceSiteV7,KitFox,3,3,3,1,1,Shrub
763,Hill Air Force,Site,V7,Hill Air ForceSiteV7,KitFox,2,0,3,0.666666667,0,Shrub
764,Hill Air Force,Site,V7,Hill Air ForceSiteV7,KitFox,5,6,6,0.833333333,1,Shrub
767,Hill Air Force,Site,V7,Hill Air ForceSiteV7,KitFox,3,0,3,1,0,Shrub
774,Hill Air Force,Site,V7,Hill Air ForceSiteV7,KitFox,3,3,3,1,1,Shrub
795,Lund,Site,61,LundSite61,KitFox,1,1,2,0.5,0.5,Shrub
796,Lund,Site,61,LundSite61,KitFox,3,3,4,0.75,0.75,Shrub
799,Lund,Site,61,LundSite61,KitFox,12,12,13,0.923076923,0.923076923,Shrub
828,Lund,Site,61,LundSite61,KitFox,1,0,3,0.333333333,0,Shrub
829,Lund,Site,61,LundSite61,KitFox,1,1,3,0.333333333,0.333333333,Shrub
830,Lund,Site,61,LundSite61,KitFox,0,0,2,0,0,Shrub
833,Lund,Site,61,LundSite61,KitFox,6,6,9,0.666666667,0.666666667,Shrub
836,Lund,Site,61,LundSite61,KitFox,3,3,4,0.75,0.75,Shrub
824,Lund,Site,64,LundSite64,KitFox,3,2,3,1,0.666666667,Shrub
825,Lund,Site,64,LundSite64,KitFox,7,4,9,0.777777778,0.444444444,Shrub
831,Lund,Site,64,LundSite64,KitFox,0,0,1,0,0,Shrub
816,Lund,Site,72,LundSite72,KitFox,3,0,3,1,0,Shrub
820,Lund,Site,77,LundSite77,KitFox,2,0,3,0.666666667,0,Shrub
457,Lytle,Site,14,LytleSite14,KitFox,9,6,9,1,0.666666667,Shrub
466,Lytle,Site,14,LytleSite14,KitFox,2,0,6,0.333333333,0,Shrub
473,Lytle,Site,14,LytleSite14,KitFox,3,2,3,1,0.666666667,Shrub
477,Lytle,Site,14,LytleSite14,KitFox,1,2,2,0.5,1,Shrub
490,Lytle,Site,14,LytleSite14,KitFox,3,3,3,1,1,Shrub
444,Lytle,Site,27,LytleSite27,KitFox,3,3,3,1,1,Shrub
189,Lytle,Site,68,LytleSite68,KitFox,1,0,1,1,0,Shrub
481,Lytle,Site,68,LytleSite68,KitFox,0,3,3,0,1,Shrub
482,Lytle,Site,68,LytleSite68,KitFox,1,0,3,0.333333333,0,Shrub
488,Lytle,Site,68,LytleSite68,KitFox,0,0,2,0,0,Shrub
489,Lytle,Site,68,LytleSite68,KitFox,1,0,3,0.333333333,0,Shrub
779,Thomas Range,Site,10,Thomas RangeSite10,KitFox,4,4,9,0.444444444,0.444444444,Shrub
703,Thomas Range,Site,14,Thomas RangeSite14,KitFox,5,6,6,0.833333333,1,Shrub
686,Thomas Range,Site,20,Thomas RangeSite20,KitFox,1,0,1,1,0,Shrub
694,Thomas Range,Site,20,Thomas RangeSite20,KitFox,3,2,3,1,0.666666667,Shrub
728,Thomas Range,Site,20,Thomas RangeSite20,KitFox,1,0,3,0.333333333,0,Shrub
751,Thomas Range,Site,20,Thomas RangeSite20,KitFox,3,3,5,0.6,0.6,Shrub
758,Thomas Range,Site,20,Thomas RangeSite20,KitFox,1,0,6,0.166666667,0,Shrub
707,Thomas Range,Site,21,Thomas RangeSite21,KitFox,3,1,3,1,0.333333333,Shrub
709,Thomas Range,Site,21,Thomas RangeSite21,KitFox,8,8,9,0.888888889,0.888888889,Shrub
710,Thomas Range,Site,21,Thomas RangeSite21,KitFox,2,1,3,0.666666667,0.333333333,Shrub
699,Thomas Range,Site,27,Thomas RangeSite27,KitFox,3,3,3,1,1,Shrub
690,Thomas Range,Site,28,Thomas RangeSite28,KitFox,3,3,3,1,1,Shrub
691,Thomas Range,Site,28,Thomas RangeSite28,KitFox,3,4,4,0.75,1,Shrub
753,Thomas Range,Site,28,Thomas RangeSite28,KitFox,0,0,2,0,0,Shrub
683,Thomas Range,Site,40,Thomas RangeSite40,KitFox,3,0,3,1,0,Shrub
735,Thomas Range,Site,40,Thomas RangeSite40,KitFox,0,3,6,0,0.5,Shrub
759,Thomas Range,Site,40,Thomas RangeSite40,KitFox,2,0,3,0.666666667,0,Shrub
687,Thomas Range,Site,42,Thomas RangeSite42,KitFox,4,2,4,1,0.5,Shrub
689,Thomas Range,Site,42,Thomas RangeSite42,KitFox,3,2,3,1,0.666666667,Shrub
695,Thomas Range,Site,42,Thomas RangeSite42,KitFox,3,3,5,0.6,0.6,Shrub
702,Thomas Range,Site,42,Thomas RangeSite42,KitFox,0,0,3,0,0,Shrub
713,Thomas Range,Site,42,Thomas RangeSite42,KitFox,0,1,1,0,1,Shrub
719,Thomas Range,Site,42,Thomas RangeSite42,KitFox,3,3,3,1,1,Shrub
720,Thomas Range,Site,42,Thomas RangeSite42,KitFox,0,0,3,0,0,Shrub
781,Thomas Range,Site,5,Thomas RangeSite5,KitFox,22,12,23,0.956521739,0.52173913,Shrub
744,Thomas Range,Site,50,Thomas RangeSite50,KitFox,1,3,6,0.166666667,0.5,Shrub
745,Thomas Range,Site,50,Thomas RangeSite50,KitFox,1,2,2,0.5,1,Shrub
746,Thomas Range,Site,50,Thomas RangeSite50,KitFox,0,2,2,0,1,Shrub
684,Thomas Range,Site,53,Thomas RangeSite53,KitFox,2,0,2,1,0,Shrub
696,Thomas Range,Site,53,Thomas RangeSite53,KitFox,1,0,1,1,0,Shrub
697,Thomas Range,Site,53,Thomas RangeSite53,KitFox,1,0,3,0.333333333,0,Shrub
698,Thomas Range,Site,53,Thomas RangeSite53,KitFox,2,4,4,0.5,1,Shrub
700,Thomas Range,Site,53,Thomas RangeSite53,KitFox,3,3,6,0.5,0.5,Shrub
704,Thomas Range,Site,53,Thomas RangeSite53,KitFox,3,2,3,1,0.666666667,Shrub
705,Thomas Range,Site,53,Thomas RangeSite53,KitFox,1,1,3,0.333333333,0.333333333,Shrub
706,Thomas Range,Site,53,Thomas RangeSite53,KitFox,3,3,3,1,1,Shrub
708,Thomas Range,Site,53,Thomas RangeSite53,KitFox,1,3,3,0.333333333,1,Shrub
711,Thomas Range,Site,53,Thomas RangeSite53,KitFox,3,3,3,1,1,Shrub
714,Thomas Range,Site,65,Thomas RangeSite65,KitFox,3,0,7,0.428571429,0,Shrub
716,Thomas Range,Site,81,Thomas RangeSite81,KitFox,4,4,6,0.666666667,0.666666667,Shrub
740,Thomas Range,Site,91,Thomas RangeSite91,KitFox,5,0,6,0.833333333,0,Shrub
534,West Water,Site,14,West WaterSite14,KitFox,3,1,5,0.6,0.2,Shrub
524,West Water,Site,23,West WaterSite23,KitFox,4,2,6,0.666666667,0.333333333,Shrub
555,West Water,Site,23,West WaterSite23,KitFox,6,5,6,1,0.833333333,Shrub
565,West Water,Site,23,West WaterSite23,KitFox,3,0,9,0.333333333,0,Shrub
531,West Water,Site,49,West WaterSite49,KitFox,4,3,4,1,0.75,Shrub
549,West Water,Site,49,West WaterSite49,KitFox,2,0,3,0.666666667,0,Shrub
587,West Water,Site,6,West WaterSite6,KitFox,1,0,1,1,0,Shrub
49,BLM,Site,173,BLMSite173,KitFox,5,4,7,0.714285714,0.571428571,Barren
50,BLM,Site,173,BLMSite173,KitFox,3,2,3,1,0.666666667,Barren
75,BLM,Site,173,BLMSite173,KitFox,4,2,5,0.8,0.4,Barren
142,BLM,Site,173,BLMSite173,KitFox,8,6,8,1,0.75,Barren
47,BLM,Site,185,BLMSite185,KitFox,12,9,12,1,0.75,Barren
57,BLM,Site,185,BLMSite185,KitFox,10,9,11,0.909090909,0.818181818,Barren
93,BLM,Site,185,BLMSite185,KitFox,0,0,3,0,0,Barren
94,BLM,Site,185,BLMSite185,KitFox,3,3,3,1,1,Barren
102,BLM,Site,185,BLMSite185,KitFox,3,3,3,1,1,Barren
125,BLM,Site,185,BLMSite185,KitFox,2,1,6,0.333333333,0.166666667,Barren
129,BLM,Site,185,BLMSite185,KitFox,3,1,3,1,0.333333333,Barren
133,BLM,Site,185,BLMSite185,KitFox,0,0,1,0,0,Barren
159,BLM,Site,185,BLMSite185,KitFox,6,6,6,1,1,Barren
160,BLM,Site,185,BLMSite185,KitFox,3,2,3,1,0.666666667,Barren
532,BLM,Site,185,BLMSite185,KitFox,4,3,6,0.666666667,0.5,Barren
573,BLM,Site,185,BLMSite185,KitFox,3,2,3,1,0.666666667,Barren
574,BLM,Site,185,BLMSite185,KitFox,8,6,12,0.666666667,0.5,Barren
575,BLM,Site,185,BLMSite185,KitFox,0,0,3,0,0,Barren
483,Lytle,Site,18,LytleSite18,KitFox,0,1,1,0,1,Barren
484,Lytle,Site,18,LytleSite18,KitFox,2,0,2,1,0,Barren
453,Lytle,Site,26,LytleSite26,KitFox,9,6,12,0.75,0.5,Barren
456,Lytle,Site,26,LytleSite26,KitFox,3,3,3,1,1,Barren
467,Lytle,Site,26,LytleSite26,KitFox,3,3,3,1,1,Barren
470,Lytle,Site,26,LytleSite26,KitFox,3,2,3,1,0.666666667,Barren
487,Lytle,Site,26,LytleSite26,KitFox,12,11,14,0.857142857,0.785714286,Barren
493,Lytle,Site,26,LytleSite26,KitFox,3,2,4,0.75,0.5,Barren
508,Lytle,Site,26,LytleSite26,KitFox,3,0,3,1,0,Barren
509,Lytle,Site,26,LytleSite26,KitFox,0,0,6,0,0,Barren
794,Hill Air Force,Site,B4,Hill Air ForceSiteB4,Coyote,2,0,3,0.666666667,0,Unknown
804,Hill Air Force,Site,B5,Hill Air ForceSiteB5,Coyote,6,3,6,1,0.5,Unknown
766,Hill Air Force,Site,D15,Hill Air ForceSiteD15,Coyote,3,3,3,1,1,Unknown
765,Hill Air Force,Site,M12,Hill Air ForceSiteM12,Coyote,3,3,3,1,1,Unknown
784,Hill Air Force,Site,T10,Hill Air ForceSiteT10,Coyote,0,0,1,0,0,Unknown
447,Lytle,Site,47,LytleSite47,Coyote,0,0,1,0,0,Unknown
502,Lytle,Site,78,LytleSite78,Coyote,3,0,3,1,0,Unknown
209,Hill Air Force,Site,B4,Hill Air ForceSiteB4,KitFox,2,1,3,0.666666667,0.333333333,Unknown
210,Hill Air Force,Site,C7,Hill Air ForceSiteC7,KitFox,2,0,3,0.666666667,0,Unknown
211,Hill Air Force,Site,C7,Hill Air ForceSiteC7,KitFox,3,1,3,1,0.333333333,Unknown
224,Hill Air Force,Site,C7,Hill Air ForceSiteC7,KitFox,3,6,6,0.5,1,Unknown
213,Hill Air Force,Site,D6,Hill Air ForceSiteD6,KitFox,7,8,9,0.777777778,0.888888889,Unknown
214,Hill Air Force,Site,D6,Hill Air ForceSiteD6,KitFox,3,3,3,1,1,Unknown
222,Hill Air Force,Site,D6,Hill Air ForceSiteD6,KitFox,3,2,4,0.75,0.5,Unknown
237,Hill Air Force,Site,D6,Hill Air ForceSiteD6,KitFox,3,2,3,1,0.666666667,Unknown
443,Lytle,Site,15,LytleSite15,KitFox,4,3,4,1,0.75,Unknown
458,Lytle,Site,58,LytleSite58,KitFox,0,0,3,0,0,Unknown
498,Lytle,Site,78,LytleSite78,KitFox,2,0,3,0.666666667,0,Unknown
